model_name,failure_profile,start_time,end_time,failure_interval,failure_type,solution_method,is_fixable
*.Models.Model.Assembly1,FailureA,5:18:41:42.9506,5:19:12:43.1979,1:00:00.0000,2,5,0
*.Models.Model.Assembly3,FailureA,5:18:56:49.1520,5:20:16:54.8920,6:16.2047,1,1,0
*.Models.Model.Assembly1,FailureA,5:19:12:52.8065,5:20:46:27.8996,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,5:20:23:12.7239,5:21:28:03.7216,16:22.8030,2,1,0
*.Models.Model.Assembly1,FailureA,5:20:58:38.7163,5:22:07:00.3566,1:00:00.0000,2,1,0
*.Models.Model.Assembly3,FailureA,5:21:44:35.2022,5:22:47:01.4898,12:52.8098,1,5,0
*.Models.Model.Assembly4,FailureA,5:21:45:11.4215,5:23:32:01.0325,11:58.9091,1,3,0
*.Models.Model.Assembly3,FailureA,5:23:00:01.7202,6:00:03:59.3691,1:10:40.7666,2,2,0
*.Models.Model.Assembly1,FailureA,5:22:20:38.2847,6:00:30:27.9765,1:00:00.0000,2,4,0
*.Models.Model.Assembly4,FailureA,5:23:44:06.4501,6:00:56:34.2054,40:11.5734,1,3,0
*.Models.Model.Assembly1,FailureA,6:01:02:25.3045,6:01:24:29.8403,1:00:00.0000,1,2,0
*.Models.Model.Assembly1,FailureA,6:02:14:01.2759,6:02:34:48.2273,1:00:00.0000,1,4,0
*.Models.Model.Assembly4,FailureA,6:02:20:37.5414,6:03:05:18.8493,13:00.6138,2,1,0
*.Models.Model.Assembly3,FailureA,6:03:09:53.9868,6:03:40:28.3297,14:02.9102,1,2,0
*.Models.Model.Assembly4,FailureA,6:03:18:28.6084,6:04:05:45.5867,38:45.7182,2,3,0
*.Models.Model.Assembly3,FailureA,6:03:54:34.4941,6:04:55:57.3000,6:06.5139,1,6,1
*.Models.Model.Assembly3,FailureA,6:05:02:05.4410,6:05:17:17.8319,23:52.7398,1,1,0
*.Models.Model.Assembly1,FailureA,6:05:31:54.2396,6:05:53:34.4674,1:00:00.0000,1,3,0
*.Models.Model.Assembly3,FailureA,6:05:41:20.2073,6:06:31:40.6068,6:24.3834,1,4,0
*.Models.Model.Assembly3,FailureA,6:06:38:08.0428,6:07:20:10.2758,41:40.0904,2,5,0
*.Models.Model.Assembly4,FailureA,6:06:44:31.4019,6:07:54:21.0043,1:58:04.9581,2,4,0
*.Models.Model.Assembly1,FailureA,6:07:54:05.4489,6:08:19:59.1618,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,6:08:02:08.4001,6:08:57:01.0090,1:23:59.7106,2,4,0
*.Models.Model.Assembly1,FailureA,6:08:34:23.6646,6:09:23:34.6144,1:00:00.0000,1,1,0
*.Models.Model.Assembly1,FailureA,6:10:13:50.9319,6:10:36:32.2301,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,6:10:59:54.4615,6:12:01:58.2596,9:33.2225,1,3,0
*.Models.Model.Assembly1,FailureA,6:10:56:05.8474,6:13:17:57.2325,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,6:13:28:14.3716,6:14:10:40.3682,1:05:20.5795,2,3,0
*.Models.Model.Assembly4,FailureA,6:13:38:17.8275,6:14:30:16.6302,15:01.8434,1,1,0
*.Models.Model.Assembly1,FailureA,6:13:49:19.7242,6:14:58:43.6785,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,6:14:45:26.6092,6:15:18:03.3446,51:04.1366,2,2,0
*.Models.Model.Assembly3,FailureA,6:15:48:31.7032,6:16:36:54.2658,17:35.7687,1,2,0
*.Models.Model.Assembly3,FailureA,6:16:54:36.8840,6:17:31:19.1026,24:23.4994,1,5,0
*.Models.Model.Assembly1,FailureA,6:17:02:39.5378,6:18:14:48.3083,1:00:00.0000,1,2,0
*.Models.Model.Assembly3,FailureA,6:17:55:50.7376,6:18:57:35.2451,1:06.4360,2,4,0
*.Models.Model.Assembly3,FailureA,6:18:58:41.6812,6:19:32:18.5029,36:39.1995,1,2,0
*.Models.Model.Assembly4,FailureA,6:20:07:53.4831,6:20:34:08.7745,1:21:13.6594,2,1,0
*.Models.Model.Assembly3,FailureA,6:20:09:09.0922,6:21:16:07.9916,19:07.6386,2,2,0
*.Models.Model.Assembly3,FailureA,6:21:35:27.0415,6:22:00:03.2343,3:15:47.3969,1,5,0
*.Models.Model.Assembly1,FailureA,6:21:44:49.3599,6:22:29:51.1491,1:00:00.0000,2,3,0
*.Models.Model.Assembly1,FailureA,6:23:46:05.3605,7:00:37:30.8172,1:00:00.0000,2,5,0
*.Models.Model.Assembly4,FailureA,7:00:45:49.1680,7:01:18:23.8016,14:14.8042,1,6,1
*.Models.Model.Assembly1,FailureA,7:00:59:40.7617,7:01:36:44.5993,1:00:00.0000,1,6,1
*.Models.Model.Assembly1,FailureA,7:01:41:01.0671,7:02:04:37.7896,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,7:01:48:53.4973,7:02:23:35.4295,22:26.2707,1,3,0
*.Models.Model.Assembly1,FailureA,7:02:33:26.2578,7:02:51:36.8320,1:00:00.0000,2,4,0
*.Models.Model.Assembly3,FailureA,7:03:12:34.8322,7:03:59:12.8822,32:43.6464,2,2,0
*.Models.Model.Assembly4,FailureA,7:04:30:27.8198,7:05:35:19.8215,6:42.8480,1,6,1
*.Models.Model.Assembly4,FailureA,7:05:42:05.9237,7:06:25:03.8938,1:38:25.3895,1,2,0
*.Models.Model.Assembly1,FailureA,7:05:59:05.1990,7:06:56:10.0779,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,7:07:11:03.8323,7:07:34:55.3824,28:36.3722,2,3,0
*.Models.Model.Assembly1,FailureA,7:07:17:54.3616,7:07:52:36.7533,1:00:00.0000,1,4,0
*.Models.Model.Assembly3,FailureA,7:08:10:18.5801,7:08:28:57.7614,25:07.7407,1,5,0
*.Models.Model.Assembly1,FailureA,7:08:11:52.0028,7:08:52:41.4401,1:00:00.0000,2,1,0
*.Models.Model.Assembly3,FailureA,7:09:17:18.5713,7:09:56:46.3782,3:37.1716,1,5,0
*.Models.Model.Assembly3,FailureA,7:10:00:23.5497,7:11:03:35.0441,8:35.2642,2,3,0
*.Models.Model.Assembly1,FailureA,7:09:36:30.2478,7:11:45:55.3359,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,7:11:12:13.5625,7:12:19:02.3401,25:10.8170,1,6,1
*.Models.Model.Assembly4,FailureA,7:12:25:08.1827,7:12:47:36.0669,1:38:15.9394,2,2,0
*.Models.Model.Assembly3,FailureA,7:12:44:23.9695,7:13:18:23.3888,16:30.3513,2,1,0
*.Models.Model.Assembly3,FailureA,7:13:35:00.8166,7:14:21:00.9654,35:38.1844,2,1,0
*.Models.Model.Assembly3,FailureA,7:14:56:52.5527,7:15:28:23.6562,56.4209,1,4,0
*.Models.Model.Assembly3,FailureA,7:15:29:22.3476,7:16:09:26.2351,8:12.2825,1,1,0
*.Models.Model.Assembly3,FailureA,7:16:17:40.4919,7:16:52:55.0617,45:45.1340,1,1,0
*.Models.Model.Assembly3,FailureA,7:17:38:58.3176,7:17:59:19.2128,5:00.6075,1,6,1
*.Models.Model.Assembly3,FailureA,7:18:04:21.4475,7:19:04:33.6045,1:07:27.3316,2,5,0
*.Models.Model.Assembly4,FailureA,7:19:18:36.8499,7:19:37:34.9294,22:12.7690,1,2,0
*.Models.Model.Assembly1,FailureA,7:19:57:19.6421,7:20:30:17.4921,1:00:00.0000,1,2,0
*.Models.Model.Assembly3,FailureA,7:20:12:29.4116,7:21:05:22.3330,3:24.3787,1,5,0
*.Models.Model.Assembly4,FailureA,7:20:03:26.0342,7:21:38:45.6532,39:17.4620,1,3,0
*.Models.Model.Assembly3,FailureA,7:21:08:51.7287,7:22:04:02.7542,5:13.5178,1,6,1
*.Models.Model.Assembly1,FailureA,7:20:41:27.2929,7:22:36:19.3038,1:00:00.0000,1,2,0
*.Models.Model.Assembly3,FailureA,7:22:38:13.0855,7:23:11:51.4029,19:35.4685,2,2,0
*.Models.Model.Assembly1,FailureA,7:22:51:29.4574,7:23:53:43.4107,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,7:23:56:27.0739,8:00:40:57.8939,10:34.2495,2,3,0
*.Models.Model.Assembly1,FailureA,8:00:32:14.9478,8:01:04:57.1671,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,8:00:51:36.7141,8:02:13:30.9551,28:55.5651,2,3,0
*.Models.Model.Assembly3,FailureA,8:02:42:37.9100,8:03:57:31.4074,4:52.6945,1,5,0
*.Models.Model.Assembly1,FailureA,8:03:22:43.8666,8:04:25:47.7416,1:00:00.0000,2,5,0
*.Models.Model.Assembly3,FailureA,8:04:02:25.7291,8:04:57:25.6070,43:27.9774,1,2,0
*.Models.Model.Assembly4,FailureA,8:04:09:04.3755,8:05:25:27.8696,10:10.4596,1,6,1
*.Models.Model.Assembly3,FailureA,8:05:41:06.6013,8:06:48:22.0160,5:16.6765,2,5,0
*.Models.Model.Assembly3,FailureA,8:06:53:40.3196,8:07:34:56.5337,48:18.4396,1,3,0
*.Models.Model.Assembly4,FailureA,8:07:12:29.6080,8:08:21:15.4627,33:14.8304,1,6,1
*.Models.Model.Assembly1,FailureA,8:07:14:43.3443,8:08:56:46.9557,1:00:00.0000,1,6,1
*.Models.Model.Assembly1,FailureA,8:09:02:06.0237,8:09:27:37.4785,1:00:00.0000,1,2,0
*.Models.Model.Assembly1,FailureA,8:09:31:46.6722,8:10:12:58.4899,1:00:00.0000,1,2,0
*.Models.Model.Assembly1,FailureA,8:10:17:37.1722,8:10:43:19.4846,1:00:00.0000,1,4,0
*.Models.Model.Assembly3,FailureA,8:11:10:41.7194,8:11:46:32.8174,2:29:46.3165,1,4,0
*.Models.Model.Assembly1,FailureA,8:11:35:16.4163,8:12:26:53.9651,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,8:11:53:33.0123,8:12:54:42.4522,17:54.1463,1,4,0
*.Models.Model.Assembly1,FailureA,8:12:49:33.9403,8:13:37:48.2927,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,8:13:12:46.3613,8:14:00:48.8798,25:26.2318,2,1,0
*.Models.Model.Assembly1,FailureA,8:14:00:52.1287,8:14:37:32.3343,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,8:14:26:28.1286,8:14:59:52.8625,11:01.7801,1,3,0
*.Models.Model.Assembly4,FailureA,8:15:29:03.2832,8:16:27:46.2021,4:16.3556,1,6,1
*.Models.Model.Assembly4,FailureA,8:16:32:04.1848,8:17:25:48.2662,12:54.0959,2,3,0
*.Models.Model.Assembly3,FailureA,8:17:05:36.8066,8:17:49:59.8800,1:44:25.6686,2,5,0
*.Models.Model.Assembly4,FailureA,8:17:38:51.9192,8:18:08:59.3773,45:19.1904,1,3,0
*.Models.Model.Assembly1,FailureA,8:17:56:56.1981,8:18:48:33.0822,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,8:18:59:52.4645,8:19:17:19.5058,46.1011,1,6,1
*.Models.Model.Assembly4,FailureA,8:19:18:05.6069,8:20:02:34.8994,25:01.4715,1,5,0
*.Models.Model.Assembly1,FailureA,8:19:20:14.6990,8:20:43:49.5251,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,8:20:27:56.4053,8:21:18:14.2760,1:02:33.2404,1,4,0
*.Models.Model.Assembly1,FailureA,8:20:57:12.8621,8:21:37:50.0441,1:00:00.0000,2,4,0
*.Models.Model.Assembly1,FailureA,8:21:44:45.9585,8:22:26:22.7892,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,8:22:56:15.8469,8:23:48:30.9589,37:57.2995,2,3,0
*.Models.Model.Assembly3,FailureA,9:00:26:41.2754,9:00:52:44.7376,5:27.5530,1,4,0
*.Models.Model.Assembly3,FailureA,9:00:58:13.9177,9:01:45:02.5276,19:06.5541,1,2,0
*.Models.Model.Assembly1,FailureA,9:00:33:27.7160,9:02:19:00.8718,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,9:02:04:17.5581,9:03:03:12.9230,40:52.0803,1,3,0
*.Models.Model.Assembly4,FailureA,9:01:52:29.9254,9:03:44:19.1820,46:08.3764,1,1,0
*.Models.Model.Assembly1,FailureA,9:02:35:48.6154,9:04:07:21.0314,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,9:04:24:21.9501,9:05:10:09.0423,16:54.8881,1,4,0
*.Models.Model.Assembly1,FailureA,9:04:19:08.3910,9:05:52:54.4313,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,9:04:52:35.2965,9:06:34:56.0256,1:16:31.4033,2,5,0
*.Models.Model.Assembly1,FailureA,9:06:03:37.0356,9:07:40:48.5997,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,9:07:44:16.9896,9:08:06:30.4513,50:16.2863,1,4,0
*.Models.Model.Assembly1,FailureA,9:08:05:36.5227,9:08:26:28.0626,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,9:09:11:46.7885,9:09:35:00.1390,1:33:49.2591,1,1,0
*.Models.Model.Assembly1,FailureA,9:09:26:17.2414,9:09:57:48.8252,1:00:00.0000,1,2,0
*.Models.Model.Assembly1,FailureA,9:10:15:00.7231,9:10:52:08.3424,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,9:10:27:49.0601,9:11:14:47.6869,18:39.5905,2,2,0
*.Models.Model.Assembly1,FailureA,9:10:53:02.4689,9:11:52:47.2182,1:00:00.0000,2,1,0
*.Models.Model.Assembly1,FailureA,9:12:16:12.4070,9:13:08:43.0939,1:00:00.0000,1,5,0
*.Models.Model.Assembly4,FailureA,9:13:34:11.8420,9:14:16:29.5355,3:59.8824,2,4,0
*.Models.Model.Assembly3,FailureA,9:13:49:28.3280,9:14:52:06.5020,40:20.0279,1,5,0
*.Models.Model.Assembly4,FailureA,9:14:20:32.6721,9:15:26:38.0263,20:43.8554,2,3,0
*.Models.Model.Assembly1,FailureA,9:15:07:19.6017,9:15:47:44.1383,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,9:15:47:41.6608,9:16:10:07.9465,9:37.9660,2,1,0
*.Models.Model.Assembly1,FailureA,9:15:47:49.5616,9:16:32:50.0246,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,9:16:19:57.6654,9:16:52:29.1664,1:33:18.1096,2,5,0
*.Models.Model.Assembly1,FailureA,9:16:40:39.3189,9:17:31:35.7514,1:00:00.0000,2,2,0
*.Models.Model.Assembly3,FailureA,9:17:38:55.6256,9:18:23:21.2437,1:25:50.8050,1,5,0
*.Models.Model.Assembly1,FailureA,9:18:38:31.7088,9:19:20:15.1964,1:00:00.0000,1,1,0
*.Models.Model.Assembly1,FailureA,9:19:48:14.7184,9:20:25:43.6803,1:00:00.0000,2,5,0
*.Models.Model.Assembly3,FailureA,9:20:46:40.4626,9:21:27:30.7917,12:19.9640,1,1,0
*.Models.Model.Assembly3,FailureA,9:21:39:56.8887,9:22:49:22.7737,1:26:32.1244,1,3,0
*.Models.Model.Assembly1,FailureA,9:22:56:37.0373,9:23:28:18.4011,1:00:00.0000,2,1,0
*.Models.Model.Assembly4,FailureA,10:00:15:59.5957,10:00:48:19.8382,1:00:10.6510,1,6,1
*.Models.Model.Assembly3,FailureA,10:00:18:58.7938,10:01:08:32.9215,20:28.8388,2,4,0
*.Models.Model.Assembly1,FailureA,10:00:26:30.4755,10:01:32:57.7182,1:00:00.0000,1,6,1
*.Models.Model.Assembly1,FailureA,10:01:33:56.4133,10:02:05:02.9069,1:00:00.0000,1,2,0
*.Models.Model.Assembly3,FailureA,10:02:11:01.4804,10:03:22:26.2188,40:20.4531,1,5,0
*.Models.Model.Assembly1,FailureA,10:02:15:36.0417,10:03:47:47.8337,1:00:00.0000,1,4,0
*.Models.Model.Assembly1,FailureA,10:03:59:01.6800,10:04:31:16.4315,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,10:05:00:53.9118,10:05:44:48.5954,5:21.0479,1,4,0
*.Models.Model.Assembly3,FailureA,10:05:50:12.8689,10:06:46:08.7523,13:51.6616,1,4,0
*.Models.Model.Assembly4,FailureA,10:06:13:05.3663,10:07:11:58.5191,29:30.3415,1,6,1
*.Models.Model.Assembly3,FailureA,10:07:00:05.3689,10:07:33:24.8390,19:54.0312,1,6,1
*.Models.Model.Assembly3,FailureA,10:07:53:30.6622,10:08:24:38.4294,12:02.2459,1,6,1
*.Models.Model.Assembly4,FailureA,10:08:15:22.6877,10:08:48:15.0464,1:05:53.2678,1,6,1
*.Models.Model.Assembly3,FailureA,10:08:36:43.9295,10:09:07:43.3097,13:11.2378,2,2,0
*.Models.Model.Assembly3,FailureA,10:09:20:58.0728,10:10:16:45.4038,14:14.9689,2,1,0
*.Models.Model.Assembly1,FailureA,10:10:02:02.1409,10:10:53:39.6506,1:00:00.0000,1,1,0
*.Models.Model.Assembly3,FailureA,10:10:31:06.8811,10:11:14:25.0701,44.1115,2,4,0
*.Models.Model.Assembly1,FailureA,10:11:10:31.6537,10:11:53:50.2891,1:00:00.0000,1,4,0
*.Models.Model.Assembly3,FailureA,10:11:15:10.8087,10:12:12:10.6233,1:02:50.7943,1,2,0
*.Models.Model.Assembly1,FailureA,10:12:00:28.6961,10:12:39:35.0278,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,10:13:24:12.6666,10:13:43:29.3821,29:05.7151,1,6,1
*.Models.Model.Assembly4,FailureA,10:13:29:28.3804,10:14:07:49.8212,1:23:03.2434,1,3,0
*.Models.Model.Assembly1,FailureA,10:14:36:29.1574,10:15:13:12.1858,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,10:15:31:03.1709,10:16:23:57.7080,2:15:04.7438,2,1,0
*.Models.Model.Assembly4,FailureA,10:18:36:27.6572,10:19:13:20.2630,11:58.8881,1,4,0
*.Models.Model.Assembly4,FailureA,10:19:41:09.3032,10:19:56:11.7288,25:07.0443,1,2,0
*.Models.Model.Assembly4,FailureA,10:20:21:34.3719,10:20:45:05.2974,1:39:24.3649,1,1,0
*.Models.Model.Assembly1,FailureA,10:20:26:02.3378,10:21:16:56.2992,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,10:21:35:45.3445,10:22:11:10.5803,2:01:45.7910,1,1,0
*.Models.Model.Assembly1,FailureA,10:21:36:55.5984,10:22:28:45.3542,1:00:00.0000,1,4,0
*.Models.Model.Assembly1,FailureA,10:23:14:23.3826,10:23:53:58.8231,1:00:00.0000,1,5,0
*.Models.Model.Assembly1,FailureA,11:00:27:36.9281,11:00:56:20.7108,1:00:00.0000,2,3,0
*.Models.Model.Assembly1,FailureA,11:01:15:26.5870,11:01:48:29.3975,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,11:02:03:02.5087,11:02:18:23.7489,1:45:59.5881,2,5,0
*.Models.Model.Assembly1,FailureA,11:02:18:12.9690,11:02:55:31.7319,1:00:00.0000,1,6,1
*.Models.Model.Assembly1,FailureA,11:02:58:20.7745,11:03:14:14.0843,1:00:00.0000,2,3,0
*.Models.Model.Assembly1,FailureA,11:03:37:52.4439,11:04:22:23.7544,1:00:00.0000,2,5,0
*.Models.Model.Assembly1,FailureA,11:04:39:12.9096,11:05:28:37.9915,1:00:00.0000,2,5,0
*.Models.Model.Assembly4,FailureA,11:06:38:16.6430,11:07:34:37.7524,2:05:27.3850,1,6,1
*.Models.Model.Assembly3,FailureA,11:07:11:15.2836,11:08:19:39.1390,22:41.9999,1,4,0
*.Models.Model.Assembly1,FailureA,11:08:04:21.4434,11:09:06:46.2365,1:00:00.0000,1,5,0
*.Models.Model.Assembly1,FailureA,11:09:14:31.0650,11:10:18:04.6962,1:00:00.0000,1,3,0
*.Models.Model.Assembly3,FailureA,11:10:27:30.5975,11:11:08:14.4423,37:11.7168,1,3,0
*.Models.Model.Assembly1,FailureA,11:10:54:33.1064,11:11:31:47.2280,1:00:00.0000,2,2,0
*.Models.Model.Assembly1,FailureA,11:11:44:15.0603,11:12:10:41.2925,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,11:12:18:43.8183,11:13:32:55.2423,1:53.2445,1,6,1
*.Models.Model.Assembly3,FailureA,11:13:34:50.1139,11:13:56:23.4850,1:08.0318,2,2,0
*.Models.Model.Assembly3,FailureA,11:13:57:31.5168,11:14:30:17.0165,1:18:48.0066,2,5,0
*.Models.Model.Assembly1,FailureA,11:15:49:09.4500,11:16:11:19.1561,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,11:15:49:44.7471,11:16:42:43.6325,1:04:34.8280,1,6,1
*.Models.Model.Assembly1,FailureA,11:16:26:51.3350,11:17:08:04.6088,1:00:00.0000,2,4,0
*.Models.Model.Assembly4,FailureA,11:17:07:42.0351,11:17:25:54.1952,41:36.4947,1,2,0
*.Models.Model.Assembly1,FailureA,11:17:15:09.3862,11:18:03:00.9960,1:00:00.0000,2,2,0
*.Models.Model.Assembly1,FailureA,11:18:48:15.5603,11:19:32:41.1400,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,11:18:48:51.3225,11:20:13:02.6034,30:39.9113,1,5,0
*.Models.Model.Assembly4,FailureA,11:19:00:48.0046,11:20:45:35.1496,58:38.0368,1,3,0
*.Models.Model.Assembly1,FailureA,11:19:49:11.4227,11:21:24:40.2230,1:00:00.0000,1,3,0
*.Models.Model.Assembly3,FailureA,11:21:37:37.0318,11:21:56:28.5809,5:44.7907,1,6,1
*.Models.Model.Assembly3,FailureA,11:22:02:14.9987,11:22:44:03.0787,3:49.7058,1,6,1
*.Models.Model.Assembly1,FailureA,11:22:03:35.9919,11:23:10:36.0428,1:00:00.0000,1,1,0
*.Models.Model.Assembly3,FailureA,11:22:47:54.4117,11:23:45:27.0224,1:24:57.6412,2,3,0
*.Models.Model.Assembly4,FailureA,12:00:35:24.8871,12:01:06:01.1380,1:25:07.4730,1,2,0
*.Models.Model.Assembly3,FailureA,12:01:11:01.9699,12:01:45:56.7925,20:08.2237,2,4,0
*.Models.Model.Assembly3,FailureA,12:02:06:18.0655,12:02:37:34.1687,19:41.2572,1,1,0
*.Models.Model.Assembly3,FailureA,12:02:57:23.8832,12:03:40:01.3451,15:35.8678,2,2,0
*.Models.Model.Assembly3,FailureA,12:03:55:45.6106,12:05:11:59.5254,6:57.6836,2,3,0
*.Models.Model.Assembly3,FailureA,12:05:19:02.1666,12:06:13:18.6915,22:27.0488,1,4,0
*.Models.Model.Assembly4,FailureA,12:05:50:04.6359,12:06:33:57.2068,21:23.9062,2,4,0
*.Models.Model.Assembly3,FailureA,12:06:35:55.2209,12:07:20:55.8713,4:47.0838,1,2,0
*.Models.Model.Assembly1,FailureA,12:06:44:09.3992,12:07:48:19.8922,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,12:07:25:45.2867,12:08:07:01.9432,28:28.9165,1,4,0
*.Models.Model.Assembly4,FailureA,12:08:14:17.8798,12:08:38:46.4289,15:58.1520,1,6,1
*.Models.Model.Assembly3,FailureA,12:08:35:42.2495,12:09:07:39.5987,41:19.9505,2,4,0
*.Models.Model.Assembly1,FailureA,12:08:50:43.1365,12:09:24:55.0787,1:00:00.0000,2,1,0
*.Models.Model.Assembly3,FailureA,12:09:49:12.5662,12:10:20:51.5016,52:23.4618,1,1,0
*.Models.Model.Assembly4,FailureA,12:09:45:57.2575,12:10:43:05.8084,27:29.0419,2,3,0
*.Models.Model.Assembly1,FailureA,12:10:58:49.6078,12:11:25:04.3913,1:00:00.0000,2,5,0
*.Models.Model.Assembly4,FailureA,12:11:22:45.8341,12:12:02:52.1847,1:31:40.5180,1,1,0
*.Models.Model.Assembly3,FailureA,12:11:28:44.2000,12:12:47:05.4747,35:39.4248,1,3,0
*.Models.Model.Assembly1,FailureA,12:13:06:03.0670,12:13:23:18.6877,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,12:13:23:09.0073,12:14:38:04.2743,21:28.2608,1,3,0
*.Models.Model.Assembly1,FailureA,12:13:29:45.1921,12:15:21:59.9041,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,12:15:29:17.5222,12:15:58:54.3386,6:59.9578,2,1,0
*.Models.Model.Assembly1,FailureA,12:15:36:11.5313,12:16:14:47.3211,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,12:16:05:59.1641,12:16:54:21.3174,1:07:34.0589,1,6,1
*.Models.Model.Assembly3,FailureA,12:18:09:33.4207,12:18:26:34.4511,9.0697,1,6,1
*.Models.Model.Assembly1,FailureA,12:18:22:20.2404,12:19:06:49.5385,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,12:18:26:43.5208,12:19:30:50.3974,1:39:40.2516,1,6,1
*.Models.Model.Assembly1,FailureA,12:19:08:30.2237,12:20:14:13.8061,1:00:00.0000,1,4,0
*.Models.Model.Assembly1,FailureA,12:20:19:30.2379,12:21:01:24.2726,1:00:00.0000,2,4,0
*.Models.Model.Assembly1,FailureA,12:21:12:48.2368,12:21:41:57.0863,1:00:00.0000,1,5,0
*.Models.Model.Assembly1,FailureA,12:21:46:41.9596,12:22:09:20.6071,1:00:00.0000,1,1,0
*.Models.Model.Assembly4,FailureA,12:22:31:11.6746,12:22:55:46.0788,36:10.9104,2,3,0
*.Models.Model.Assembly1,FailureA,12:22:58:06.5523,12:23:19:39.1403,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,12:23:32:19.6989,13:00:09:17.1189,8:09.1785,2,1,0
*.Models.Model.Assembly3,FailureA,12:23:33:24.4500,13:00:46:14.2074,1:31:32.9837,1,6,1
*.Models.Model.Assembly1,FailureA,12:23:35:57.1034,13:01:09:29.2202,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,13:00:54:48.0714,13:01:46:37.9505,1:33.4759,1,3,0
*.Models.Model.Assembly4,FailureA,13:01:48:11.4265,13:02:52:43.4807,25:06.7029,1,6,1
*.Models.Model.Assembly4,FailureA,13:03:18:05.2354,13:03:46:01.4061,1:27:09.8728,2,4,0
*.Models.Model.Assembly3,FailureA,13:04:54:48.1691,13:06:00:20.0441,2:22:12.9093,1,1,0
*.Models.Model.Assembly1,FailureA,13:05:42:51.3547,13:06:31:08.6747,1:00:00.0000,1,3,0
*.Models.Model.Assembly4,FailureA,13:05:54:33.5977,13:07:03:23.6166,2:20.8101,1,2,0
*.Models.Model.Assembly4,FailureA,13:07:05:44.4267,13:07:50:25.3698,1:02:51.4476,1,3,0
*.Models.Model.Assembly4,FailureA,13:08:53:55.2508,13:09:17:47.4960,45:30.4030,2,3,0
*.Models.Model.Assembly1,FailureA,13:08:56:14.9088,13:09:42:21.1238,1:00:00.0000,2,4,0
*.Models.Model.Assembly1,FailureA,13:09:47:38.0010,13:10:19:52.3942,1:00:00.0000,2,2,0
*.Models.Model.Assembly1,FailureA,13:10:34:02.2387,13:11:26:17.9886,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,13:10:57:54.2355,13:11:58:18.3638,1:26.2494,2,1,0
*.Models.Model.Assembly1,FailureA,13:11:40:00.4267,13:12:21:21.0167,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,13:11:59:46.2404,13:12:44:04.5511,8:15.9689,1,6,1
*.Models.Model.Assembly1,FailureA,13:12:37:26.6773,13:13:14:00.3745,1:00:00.0000,2,4,0
*.Models.Model.Assembly4,FailureA,13:12:52:26.2488,13:13:29:42.3361,42:03.8974,1,5,0
*.Models.Model.Assembly3,FailureA,13:13:27:38.3208,13:14:09:16.7530,22:34.3332,2,3,0
